Time (ms),Conductance,X,Y,Z
7,0,180.4,-3.0,5.0
11,0,180.4,-3.0,5.0
15,0,180.4,-3.0,5.0
115,0,180.4,-3.0,5.0
119,0,180.4,-3.0,5.0
122,0,180.4,-3.0,5.0
233,0,180.4,-3.0,5.0
335,0,180.4,-3.0,5.0
447,0,180.4,-3.0,5.0
558,0,180.4,-3.0,5.0
674,0,180.4,-3.0,5.0
789,0,180.4,-3.0,5.0
877,0,180.4,-3.0,5.0
999,0,180.4,-3.0,5.0
1097,0,180.4,-3.0,5.0
2299,0,180.4,-3.0,5.0
2304,0,180.4,-3.0,5.0
2309,0,180.4,-3.0,5.0
2412,0,180.4,-3.0,5.0
2522,0,180.4,-3.0,5.0
2627,0,180.4,-3.0,5.0
2737,0,180.4,-3.0,5.0
2853,0,180.4,-3.0,5.0
2957,0,180.4,-3.0,5.0
